p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.077487562137424e-7,1.4843917520558612,0.351,0.103,0.02031450941530734,16,MINDY2
9.081414590216694e-7,0.9020910685372014,0.649,0.29,0.02032329771144594,16,VDAC1
9.08627168850084e-7,1.3581002708566943,0.27,0.066,0.02033416741169603,16,DHX30
9.200427116438841e-7,0.47746328684871475,0.324,0.085,0.020589635843878483,16,LGALS8
9.202429753522326e-7,0.8458359566954812,0.324,0.087,0.020594117545407613,16,NSL1
9.22489473080767e-7,0.49198808486834966,0.405,0.124,0.020644391918074486,16,STAG2
9.318964598902281e-7,1.1011293301834706,0.324,0.089,0.020854910875883415,16,GTPBP6
9.340896141873092e-7,0.5601988156525879,0.405,0.122,0.02090399147589779,16,GLOD4
9.36836737014531e-7,0.9782226732483611,0.649,0.275,0.020965469337648188,16,MLF2
9.416184750788282e-7,0.7982650729747041,0.459,0.152,0.021072479853789097,16,POLR3GL
9.60629195323641e-7,0.9875307031293864,0.324,0.088,0.021497920762147762,16,SMC1A
9.63833202322529e-7,1.0194359108985045,0.649,0.278,0.021569623234775875,16,OCIAD1
9.657287179307168e-7,0.7435950286665132,0.757,0.357,0.021612042978571513,16,SRRM2
9.731641956751652e-7,1.1593188114993582,0.297,0.077,0.02177844153501452,16,CREBZF
9.823070714459432e-7,0.9776799931544982,0.27,0.065,0.021983049951888763,16,DDX56
9.834673010785183e-7,0.8769770349309987,0.459,0.158,0.022009014730836163,16,LSM4
9.868061215681995e-7,0.5765567104429948,0.378,0.11,0.02208373419457474,16,AGO2
9.99468824176746e-7,1.1068104441452775,0.595,0.255,0.022367112816251398,16,PEA15
1.0054407864351046e-6,1.0200891182405925,0.486,0.171,0.022500759359631205,16,MRPL22
1.0125195896244287e-6,1.043012914540371,0.297,0.078,0.02265917589620509,16,KIFAP3
1.0171138635246604e-6,0.9101087983143761,0.27,0.065,0.022761991151818376,16,IQSEC1
1.0472965565673807e-6,0.7374466276153246,0.946,0.519,0.023437449639421414,16,MGST3
1.0549200504421802e-6,0.9527168896458214,0.378,0.112,0.02360805580884555,16,VPS25
