p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.789832249194276e-308,4.193267594246028,0.38,0.046,4.0054655904718705e-304,12,HAS1
0,4.020034883084781,0.669,0.083,0,12,SLPI
0,3.981253966515971,0.266,0.01,0,12,FAM134B
0,3.872054926483662,0.375,0.027,0,12,PAMR1
0,3.5941357425712077,0.559,0.037,0,12,PRKCDBP
0,3.4475021694785113,0.564,0.071,0,12,MGST1
0,3.446606765341249,0.597,0.109,0,12,GPX3
5.889838470545532e-260,3.3033041581740363,0.506,0.1,1.3180869513233846e-255,12,CILP
0,3.28073358490746,0.591,0.067,0,12,ANGPTL5
4.0529706463953794e-179,3.2699671945874282,0.252,0.034,9.070143009568219e-175,12,SERPINA5
0,3.2287027544872915,0.552,0.088,0,12,CES1
0,3.216439777114361,0.739,0.128,0,12,PCOLCE2
0,3.0960366261332144,0.45,0.041,0,12,WBP5
0,8.887272286007851,0.965,0.034,0,13,CCL21
0,8.76087995509087,0.867,0.01,0,13,TFF3
0,6.083377173661564,0.64,0.031,0,13,MMRN1
0,5.742935492860756,0.381,0.017,0,13,PROX1
0,5.489872329216826,0.413,0.014,0,13,LYVE1
0,5.1628759685055075,0.424,0.028,0,13,FABP4
0,4.690955540185139,0.305,0.019,0,13,RASGRP3
0,4.552194515458602,0.445,0.043,0,13,CAVIN2
2.28474839932791e-309,4.387261024395194,0.314,0.027,5.113038442855929e-305,13,KANK3
3.5799457637956624e-274,4.3402472537244225,0.39,0.05,8.011560624798312e-270,13,FXYD6
0,3.9339418794703436,0.766,0.203,0,13,TFPI
3.5414965023822765e-119,3.788294212206559,0.257,0.046,7.925515022681297e-115,13,VPS35L
8.07725522560779e-163,3.7376201316940585,0.259,0.035,1.8076089469387672e-158,13,PTX3
3.261388639764201e-238,3.6978935333400273,0.326,0.038,7.298661636928305e-234,13,TM4SF18
1.326192187841362e-238,3.6543967232764603,0.289,0.029,2.967885497170184e-234,13,TIE1
0,10.567398366075627,0.722,0.001,0,14,TYR
0,9.909034140109535,0.27,0,0,14,CA14
0,9.79813095507981,0.669,0.003,0,14,CAPN3
0,9.75524871173667,0.985,0.012,0,14,DCT
0,9.632088094488017,0.897,0.009,0,14,PMEL
0,9.60952986357851,0.897,0.01,0,14,TYRP1
0,9.337713302286287,0.897,0.01,0,14,MLANA
0,9.278505106371357,0.578,0.003,0,14,PCSK2
0,9.19114149022481,0.51,0.002,0,14,BCAN
0,9.065662429732647,0.582,0.002,0,14,TRPM1
0,8.973273175059829,0.43,0.002,0,14,GPR143
0,8.890043849978973,0.297,0.001,0,14,SLC24A5
0,8.616289675917916,0.395,0.003,0,14,TFAP2B
0,8.572234332647787,0.658,0.005,0,14,CRABP1
0,8.413558076157587,0.266,0.001,0,14,ROPN1B
0,8.230154161574763,0.383,0.004,0,15,IGF2
5.279467245311097e-32,6.206996657589499,0.33,0.069,1.1814919748281704e-27,15,STC1
1.1975605291700782e-49,5.8814169464749,0.357,0.055,2.680020708229718e-45,15,CSF3
1.5347906964964963e-38,5.310817208782845,0.278,0.042,3.4347080996895092e-34,15,RNF122
1.4024320504695134e-34,5.265329985050812,0.357,0.076,3.138502685745724e-30,15,CPNE8
8.848146967246646e-53,4.992425778133228,0.704,0.244,1.9801268098001267e-48,15,ARRDC3
8.264173432161819e-38,4.904239144965933,0.304,0.051,1.8494393723834933e-33,15,C2CD4B
6.970118606884707e-26,4.5755112291843565,0.278,0.059,1.5598428430347287e-21,15,VWF
5.302277516803538e-23,4.484298705537996,0.365,0.111,1.1865966854854639e-18,15,CRIM1
1.0424975168805058e-16,4.471174393040446,0.278,0.084,2.333005193026884e-12,15,MCTP1
4.014546126046308e-15,4.462716297092795,0.278,0.091,8.984152775479032e-11,15,EGFL7
1.2545862441533351e-14,4.364279891477819,0.304,0.11,2.8076385557907485e-10,15,JAM2
5.310214858721179e-18,4.278611482531308,0.383,0.148,1.1883729832332126e-13,15,ADAMTS4
1.1161237958773625e-22,4.246533333676933,0.513,0.236,2.4977734427939493e-18,15,KLF2
5.888328949504068e-14,4.227815604979239,0.409,0.202,1.3177491356095154e-9,15,ELMSAN1
0,14.888149184012292,0.568,0,0,16,PMP2
0,12.652116002899403,0.405,0,0,16,MYOT
0,11.86284365578926,0.27,0,0,16,AC093895.1
0,11.781784422464003,0.676,0,0,16,GFRA3
0,11.629563053400549,0.595,0.001,0,16,IBSP
