gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
HALLMARK_BILE_ACID_METABOLISM,hypertrophic_scar_vs_normal_skin,Down,Down,0.33375439114425187,0.48371824188118695,0.4635477654781276,0.6723374000772029,97,97,FALSE
HALLMARK_HYPOXIA,hypertrophic_scar_vs_normal_skin,Up,Up,0.36497099860410986,0.11056323055780722,0.48025073402717483,0.2303400636620984,194,194,FALSE
HALLMARK_GLYCOLYSIS,hypertrophic_scar_vs_normal_skin,Up,Up,0.3687836972589459,0.06201728163666573,0.48025073402717483,0.14766019437301364,191,191,FALSE
HALLMARK_ANDROGEN_RESPONSE,hypertrophic_scar_vs_normal_skin,Up,Up,0.37459557254119635,0.0843646062909956,0.48025073402717483,0.18412148655642827,99,99,FALSE
HALLMARK_APOPTOSIS,hypertrophic_scar_vs_normal_skin,Up,Up,0.4423796138000933,0.22650991023229958,0.5529745172501166,0.4355584059557488,159,159,FALSE
HALLMARK_KRAS_SIGNALING_DN,hypertrophic_scar_vs_normal_skin,Down,Down,0.46817790162608974,0.2574544101392736,0.5709486605196217,0.4355584059557488,150,150,FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY,hypertrophic_scar_vs_normal_skin,Down,Down,0.5077340015685785,0.9289812156352657,0.5904649676787362,0.9289812156352657,197,197,FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,hypertrophic_scar_vs_normal_skin,Down,Up,0.5077998722037131,0.5041897028828102,0.5904649676787362,0.6723374000772029,111,111,FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,hypertrophic_scar_vs_normal_skin,Down,Up,0.5661611185587803,0.7570921359781823,0.6433649074531594,0.7886376416439399,73,73,FALSE
HALLMARK_APICAL_SURFACE,hypertrophic_scar_vs_normal_skin,Up,Up,0.6225942958060369,0.7378185275062019,0.6878961519061015,0.7886376416439399,43,43,FALSE
HALLMARK_UV_RESPONSE_UP,hypertrophic_scar_vs_normal_skin,Down,Up,0.6328644597536135,0.71638047264788,0.6878961519061015,0.7886376416439399,154,154,FALSE
HALLMARK_ADIPOGENESIS,hypertrophic_scar_vs_normal_skin,Down,Up,0.6653175758293285,0.8072844699469495,0.7077846551375835,0.823759663211173,198,198,FALSE
