module,gene_symbol
neutrophil_degranulation,ACTR2
neutrophil_degranulation,ADA2
neutrophil_degranulation,ADAM10
neutrophil_degranulation,ADAM8
neutrophil_degranulation,ADGRE3
neutrophil_degranulation,ADGRE5
neutrophil_degranulation,ADGRG3
neutrophil_degranulation,AGA
neutrophil_degranulation,AGL
neutrophil_degranulation,AGPAT2
neutrophil_degranulation,AHSG
neutrophil_degranulation,ALAD
neutrophil_degranulation,ALDH3B1
neutrophil_degranulation,ALDOA
neutrophil_degranulation,ALDOC
neutrophil_degranulation,ALOX5
neutrophil_degranulation,AMPD3
neutrophil_degranulation,ANO6
neutrophil_degranulation,ANPEP
neutrophil_degranulation,ANXA2
neutrophil_degranulation,AOC1
neutrophil_degranulation,AP1M1
neutrophil_degranulation,AP2A2
neutrophil_degranulation,APAF1
neutrophil_degranulation,APEH
neutrophil_degranulation,APRT
neutrophil_degranulation,ARG1
neutrophil_degranulation,ARHGAP45
neutrophil_degranulation,ARHGAP9
neutrophil_degranulation,ARL8A
neutrophil_degranulation,ARMC8
neutrophil_degranulation,ARPC5
neutrophil_degranulation,ARSA
neutrophil_degranulation,ARSB
neutrophil_degranulation,ASAH1
neutrophil_degranulation,ATAD3B
neutrophil_degranulation,ATG7
neutrophil_degranulation,ATP11A
neutrophil_degranulation,ATP11B
neutrophil_degranulation,ATP6AP2
neutrophil_degranulation,ATP6V0A1
neutrophil_degranulation,ATP6V0C
neutrophil_degranulation,ATP6V1D
neutrophil_degranulation,ATP8A1
neutrophil_degranulation,ATP8B4
neutrophil_degranulation,AZU1
neutrophil_degranulation,B2M
neutrophil_degranulation,B4GALT1
neutrophil_degranulation,BIN2
neutrophil_degranulation,BPI
neutrophil_degranulation,BRI3
neutrophil_degranulation,BST1
neutrophil_degranulation,BST2
neutrophil_degranulation,C1orf35
neutrophil_degranulation,C3
neutrophil_degranulation,C3AR1
neutrophil_degranulation,C5AR1
neutrophil_degranulation,C6orf120
neutrophil_degranulation,CAB39
neutrophil_degranulation,CALML5
neutrophil_degranulation,CAMP
neutrophil_degranulation,CAND1
neutrophil_degranulation,CANT1
neutrophil_degranulation,CAP1
neutrophil_degranulation,CAPN1
neutrophil_degranulation,CAT
neutrophil_degranulation,CCT2
neutrophil_degranulation,CCT8
neutrophil_degranulation,CD14
neutrophil_degranulation,CD177
neutrophil_degranulation,CD300A
neutrophil_degranulation,CD33
neutrophil_degranulation,CD36
neutrophil_degranulation,CD44
neutrophil_degranulation,CD47
neutrophil_degranulation,CD53
neutrophil_degranulation,CD55
neutrophil_degranulation,CD58
neutrophil_degranulation,CD59
neutrophil_degranulation,CD63
neutrophil_degranulation,CD68
neutrophil_degranulation,CD93
neutrophil_degranulation,CDA
neutrophil_degranulation,CDK13
neutrophil_degranulation,CEACAM1
neutrophil_degranulation,CEACAM3
neutrophil_degranulation,CEACAM6
neutrophil_degranulation,CEACAM8
neutrophil_degranulation,CEP290
neutrophil_degranulation,CFD
neutrophil_degranulation,CFP
neutrophil_degranulation,CHI3L1
