gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX,early_wound_vs_normal_skin,Down,Down,0.12768463402909724,0.1285097938259207,0.36449261128304333,0.366203102406267,19,19,FALSE
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,early_wound_vs_normal_skin,Up,Up,0.12769405759721641,0.06038514865084682,0.36449261128304333,0.25188924681202096,85,85,FALSE
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,early_wound_vs_normal_skin,Down,Down,0.12779739201265924,0.11623694139105821,0.36449261128304333,0.3435157042714251,26,26,FALSE
REACTOME_MAP2K_AND_MAPK_ACTIVATION,early_wound_vs_normal_skin,Up,Up,0.12790953986809736,0.13531064543061805,0.36449261128304333,0.3770338863441122,37,37,FALSE
REACTOME_BASIGIN_INTERACTIONS,early_wound_vs_normal_skin,Up,Up,0.12859038987244972,0.1340294523963993,0.36584118436928104,0.3755276425374724,24,24,FALSE
REACTOME_OPIOID_SIGNALLING,early_wound_vs_normal_skin,Up,Up,0.12893405466868324,0.12049720780715983,0.36584118436928104,0.34987972819835667,82,82,FALSE
REACTOME_GLYCOSPHINGOLIPID_TRANSPORT,early_wound_vs_normal_skin,Down,Down,0.12897991701376177,0.1389913500320585,0.36584118436928104,0.3812926885954082,8,8,FALSE
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,early_wound_vs_normal_skin,Down,Down,0.12970546097864372,0.12480741795014158,0.3673322608301189,0.3595549125272104,9,9,FALSE
REACTOME_EPH_EPHRIN_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.13015960330223317,0.10000536341524408,0.3677124273432756,0.31966931818646716,87,87,FALSE
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,early_wound_vs_normal_skin,Up,Up,0.13023982056608946,0.1313090842639827,0.3677124273432756,0.3701627252717794,2,2,FALSE
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,early_wound_vs_normal_skin,Down,Down,0.13090766664797568,0.1440399176782254,0.3690311216242014,0.3876213304430136,16,16,FALSE
REACTOME_SIGNALING_BY_MST1,early_wound_vs_normal_skin,Down,Down,0.13289085848266044,0.13779663084809693,0.3740480825285297,0.38074792851364153,5,5,FALSE
REACTOME_RHOV_GTPASE_CYCLE,early_wound_vs_normal_skin,Down,Down,0.13317277826370086,0.18161058057681337,0.3742684502273428,0.43634019228782084,37,37,FALSE
REACTOME_REELIN_SIGNALLING_PATHWAY,early_wound_vs_normal_skin,Up,Up,0.13460409138106758,0.13807143346937112,0.3766973862585139,0.38074792851364153,4,4,FALSE
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1,early_wound_vs_normal_skin,Up,Up,0.13463780960002608,0.15224974893125026,0.3766973862585139,0.3964858110340003,9,9,FALSE
