gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_MEIOTIC_RECOMBINATION,48,Down,9.036349350595428e-9,3.3217620212788793e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_G2_G2_M_PHASES,188,Down,9.243137139052816e-9,3.3311541297213875e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,60,Down,1.1672721963400987e-8,4.125858263217503e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,29,Down,1.2178795184626316e-8,4.2235142545930505e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DOWNSTREAM_TCR_SIGNALING,86,Down,1.2676721393381694e-8,4.3147803557473246e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,42,Down,1.3141265113208205e-8,4.391571868741215e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,32,Down,1.3429961874556485e-8,4.407905343827646e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,86,Down,1.4091737142697465e-8,4.480063370406142e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_RHO_GTPASE_EFFECTORS,281,Down,1.41373055214122e-8,4.480063370406142e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,44,Down,1.4861824046016525e-8,4.6298360333183683e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,38,Down,1.6606364218522176e-8,5.087082905607294e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,50,Down,1.7154332781210936e-8,5.168797319977984e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,90,Down,1.798299214094551e-8,5.33108702500933e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,37,Down,1.9006901277611357e-8,5.545188023531694e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_PROTEASOME_ASSEMBLY,50,Down,2.0197907008999328e-8,5.800586419146994e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,49,Down,2.05256289687725e-8,5.80401631455444e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,19,Down,2.231111486825843e-8,6.213307443614998e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,164,Down,2.925112048721405e-8,8.024411859029764e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,42,Down,3.316354086376845e-8,8.963910015824473e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,50,Down,3.826179386433233e-8,1.019205465545548e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_PROMETAPHASE,198,Down,4.9686994393945155e-8,1.3046385099438742e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_TELOMERE_MAINTENANCE,86,Down,5.7504341687493156e-8,1.4873785399948437e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,41,Down,5.826510058739322e-8,1.4873785399948437e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_HOMOLOGY_DIRECTED_REPAIR,120,Down,6.037244018655729e-8,1.5200622611355107e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,86,Down,6.49454005984288e-8,1.5944992866430012e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,150,Down,6.506389907411594e-8,1.5944992866430012e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_APOPTOSIS,40,Down,7.076322000920423e-8,1.7113526102225972e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,233,Down,7.256157939446239e-8,1.7320543237275567e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_METABOLISM_OF_RNA,729,Down,7.822042310928367e-8,1.8431940727546588e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,44,Down,8.137261494660388e-8,1.8932008388842776e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,135,Down,8.682043112264941e-8,1.9946994050428705e-6,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DENGUE_VIRUS_INFECTION,352,Down,9.219219260044205e-8,2.0919660493779317e-6,stage_only,hypertrophic_scar_vs_late_wound
