Sample_name,Condition,Donor,Seq_Batch,AnnoType,annotated_spots,ECM_organization,cell_cycle_mitotic,collagen_biosynthesis,collagen_formation,innate_immune_system,neutrophil_degranulation
Donor1_Wound30,Wound30,Donor1,1,Sweat_gland,13,0.34008875643989495,0.24522333458986686,0.3850401242141132,0.4229217013411662,0.30350061155680885,0.4144002326940019
Donor1_Wound30,Wound30,Donor1,1,Sweatgland_FB,176,0.22831361421731147,0.11599818603183584,0.31900597913319045,0.28913591582745735,0.17359358191534502,0.24019486424549782
Donor1_Wound30,Wound30,Donor1,1,Wound_edges,103,0.33666078064656657,0.25129456296889396,0.42936995596567357,0.40807702821737846,0.3158167356595239,0.45674216999322054
Donor1_Wound7,Wound7,Donor1,1,Basal_epi,64,0.2752585891923404,0.33992937564626646,0.32685653526790803,0.35074014756496663,0.34935373081928073,0.4891429364241728
Donor1_Wound7,Wound7,Donor1,1,Dermis1,215,0.22533880394024436,0.13878590321044418,0.2830763117802165,0.3248460282106654,0.21007067687396622,0.325317525747967
Donor1_Wound7,Wound7,Donor1,1,Dermis2,15,0.25841121837278913,0.15147866666005597,0.3521693007138393,0.3663479495184383,0.19859948147569081,0.2879143418625828
Donor1_Wound7,Wound7,Donor1,1,FB1,44,0.3322371175170904,0.20503610462667818,0.48204030768846545,0.48191935685254045,0.26699330658801673,0.3940885203309215
Donor1_Wound7,Wound7,Donor1,1,FB2,75,0.3190831957202744,0.15690971255941824,0.40429120732721624,0.39551543670681905,0.23219471169107317,0.33727548805508095
Donor1_Wound7,Wound7,Donor1,1,Hair_follicle,8,0.23895694206908447,0.1484798606325243,0.3012533198077301,0.3466289648316507,0.2126059793725929,0.32954085843235376
Donor1_Wound7,Wound7,Donor1,1,Immune,97,0.24684827639837129,0.15660555744440124,0.29693763095943604,0.3386708478840347,0.24247344131122076,0.36748648345134294
Donor1_Wound7,Wound7,Donor1,1,Immune_endo,168,0.4228544668445565,0.2639635194109191,0.5742683744713245,0.5582960257899741,0.3398321784556643,0.48064046282258166
Donor1_Wound7,Wound7,Donor1,1,LE,21,0.27871526321120693,0.16772309558965906,0.3679021677293105,0.3663131767497925,0.23636036376957367,0.3455501656539767
Donor1_Wound7,Wound7,Donor1,1,Mast_cell,6,0.2747952081186462,0.13215399509052703,0.4077621641598628,0.39522956547618576,0.18874373480912363,0.28833429128917887
Donor1_Wound7,Wound7,Donor1,1,Papillary_dermis,73,0.24999625790311036,0.16244209607098772,0.34279535399360356,0.33679971211161785,0.22579696957232154,0.3364296783215999
Donor1_Wound7,Wound7,Donor1,1,Sebaceous_gland,16,0.17487870152480658,0.09135946342539077,0.1922574922662835,0.22163619221515002,0.1604167486400813,0.2444352204637352
Donor1_Wound7,Wound7,Donor1,1,Smooth_muscle,62,0.3294814350239506,0.18354682222261812,0.43535400409027336,0.4448610259354689,0.25377953140267684,0.37076606375787624
Donor1_Wound7,Wound7,Donor1,1,Suprabasal_epi,259,0.20968186816335166,0.16246701008867773,0.23496471236035502,0.28451299798797725,0.2345584822863654,0.35964926243977113
Donor1_Wound7,Wound7,Donor1,1,Sweat_gland,10,0.3286231705538569,0.2579770632010009,0.3553445853783612,0.4108601615253703,0.30403706422573296,0.43344797920395167
Donor1_Wound7,Wound7,Donor1,1,Sweatgland_FB,131,0.23698624395041995,0.14165541226166406,0.2633109404705005,0.2902266024310251,0.21469497073300167,0.30968007170208134
Donor1_Wound7,Wound7,Donor1,1,Wound_edges,425,0.28481882138552445,0.20107235908777124,0.2849768309697059,0.4037665653416868,0.28446634798095105,0.43091410844668054
